order_item_id,order_id,product_id,quantity,unit_price,discount_rate,line_revenue
1,1,30,1,26.93,0.05,26.93
2,1,48,1,74.81,0.0,74.81
3,1,28,1,10.68,0.0,10.68
4,2,11,2,44.7,0.0,89.4
5,3,48,1,71.07,0.05,71.07
6,4,2,1,303.49,0.0,303.49
7,5,4,1,84.32,0.0,84.32
8,6,10,1,378.85,0.0,378.85
9,6,5,2,163.54,0.08,327.08
10,6,51,1,31.66,0.0,31.66
11,7,21,1,25.39,0.0,25.39
12,8,5,1,177.76,0.0,177.76
13,9,29,1,26.67,0.0,26.67
14,10,27,1,56.16,0.0,56.16
15,11,4,1,84.32,0.0,84.32
16,12,23,1,75.92,0.0,75.92
17,12,4,1,84.32,0.0,84.32
18,12,17,1,85.44,0.0,85.44
19,12,12,1,36.02,0.05,36.02
20,13,8,1,353.64,0.0,353.64
21,14,3,1,410.61,0.0,410.61
22,14,32,1,128.02,0.05,128.02
23,14,30,1,28.35,0.0,28.35
24,15,38,2,96.92,0.0,193.84
25,15,39,1,150.51,0.0,150.51
26,15,26,1,74.55,0.0,74.55
27,16,20,1,120.33,0.05,120.33
28,16,48,1,68.83,0.08,68.83
29,17,57,1,31.25,0.0,31.25
30,17,39,2,142.98,0.05,285.96
31,18,47,3,138.49,0.0,415.47
32,19,14,2,74.24,0.0,148.48
33,19,41,1,146.29,0.0,146.29
34,20,22,1,65.84,0.0,65.84
35,21,43,1,117.53,0.0,117.53
36,22,4,1,80.1,0.05,80.1
37,22,9,2,326.86,0.0,653.72
38,23,40,1,40.37,0.0,40.37
39,23,53,1,13.55,0.0,13.55
40,24,43,1,117.53,0.0,117.53
41,24,54,2,22.25,0.05,44.5
42,25,50,1,72.37,0.0,72.37
43,26,20,1,126.66,0.0,126.66
44,26,60,2,27.15,0.05,54.3
45,26,8,1,353.64,0.0,353.64
46,27,28,2,10.68,0.0,21.36
47,28,2,1,303.49,0.0,303.49
48,29,22,1,65.84,0.0,65.84
49,30,1,2,332.97,0.0,665.94
50,31,37,1,47.75,0.0,47.75
51,32,58,1,33.14,0.08,33.14
52,33,59,2,18.0,0.05,36.0
53,33,38,1,96.92,0.0,96.92
54,34,5,1,177.76,0.0,177.76
55,34,7,1,116.37,0.05,116.37
56,35,6,2,351.76,0.0,703.52
57,36,6,1,334.17,0.05,334.17
58,36,35,1,34.36,0.0,34.36
59,37,24,1,20.16,0.0,20.16
60,38,59,1,18.95,0.0,18.95
61,39,51,1,31.66,0.0,31.66
62,40,2,1,303.49,0.0,303.49
63,40,43,2,117.53,0.0,235.06
64,40,45,1,74.45,0.05,74.45
65,40,4,2,84.32,0.0,168.64
66,41,1,1,332.97,0.0,332.97
67,41,10,1,378.85,0.0,378.85
68,41,47,2,138.49,0.0,276.98
69,42,14,1,70.53,0.05,70.53
70,42,57,1,31.25,0.0,31.25
71,42,52,1,9.3,0.05,9.3
72,43,47,2,138.49,0.0,276.98
73,44,35,1,32.64,0.05,32.64
74,45,34,2,50.9,0.0,101.8
75,45,5,1,177.76,0.0,177.76
76,45,4,1,84.32,0.0,84.32
77,45,35,1,34.36,0.0,34.36
78,46,6,1,351.76,0.0,351.76
79,47,13,1,137.12,0.0,137.12
80,47,48,2,71.07,0.05,142.14
81,48,31,1,75.5,0.0,75.5
82,48,35,1,34.36,0.0,34.36
83,49,56,1,47.83,0.0,47.83
84,50,2,1,288.32,0.05,288.32
85,51,43,2,111.65,0.05,223.3
86,52,9,1,326.86,0.0,326.86
87,52,4,2,84.32,0.0,168.64
88,53,12,1,34.89,0.08,34.89
89,53,30,1,28.35,0.0,28.35
90,54,23,1,75.92,0.0,75.92
91,55,42,1,147.61,0.05,147.61
92,56,11,1,42.47,0.05,42.47
93,57,33,1,157.83,0.0,157.83
94,57,10,1,378.85,0.0,378.85
95,58,8,2,335.96,0.05,671.92
96,58,45,1,78.37,0.0,78.37
97,59,51,1,31.66,0.0,31.66
98,60,13,1,137.12,0.0,137.12
99,61,9,1,326.86,0.0,326.86
100,62,7,1,122.49,0.0,122.49
101,63,48,1,74.81,0.0,74.81
102,64,51,2,31.66,0.0,63.32
103,65,1,2,306.33,0.08,612.66
104,66,17,1,85.44,0.0,85.44
105,67,17,3,85.44,0.0,256.32
106,68,60,2,28.58,0.0,57.16
107,68,12,1,37.92,0.0,37.92
108,69,48,3,74.81,0.0,224.43
109,70,50,1,68.75,0.05,68.75
110,71,49,3,97.61,0.0,292.83
111,72,27,2,53.35,0.05,106.7
112,73,7,1,122.49,0.0,122.49
113,74,33,1,149.94,0.05,149.94
114,75,12,1,36.02,0.05,36.02
115,75,5,2,168.87,0.05,337.74
116,76,12,1,37.92,0.0,37.92
117,76,31,1,75.5,0.0,75.5
118,77,7,1,112.69,0.08,112.69
119,77,19,1,147.2,0.0,147.2
120,77,3,1,377.76,0.08,377.76
121,78,4,1,84.32,0.0,84.32
122,79,42,1,142.95,0.08,142.95
123,79,2,1,303.49,0.0,303.49
124,80,44,1,24.46,0.0,24.46
125,80,2,1,288.32,0.05,288.32
126,81,48,1,74.81,0.0,74.81
127,82,49,1,92.73,0.05,92.73
128,82,59,1,18.0,0.05,18.0
129,83,43,1,117.53,0.0,117.53
130,84,17,1,85.44,0.0,85.44
131,85,58,2,36.02,0.0,72.04
132,86,15,1,43.83,0.0,43.83
133,87,37,1,45.36,0.05,45.36
134,87,53,1,13.55,0.0,13.55
135,87,6,1,351.76,0.0,351.76
136,88,38,1,96.92,0.0,96.92
137,89,1,1,332.97,0.0,332.97
138,90,11,2,42.47,0.05,84.94
139,90,16,1,50.12,0.0,50.12
140,90,25,1,62.84,0.05,62.84
141,91,40,2,40.37,0.0,80.74
142,92,47,1,131.57,0.05,131.57
143,93,14,1,74.24,0.0,74.24
144,94,51,2,31.66,0.0,63.32
145,95,15,1,41.64,0.05,41.64
146,96,43,2,117.53,0.0,235.06
147,97,45,3,78.37,0.0,235.11
148,98,15,1,43.83,0.0,43.83
149,99,35,2,34.36,0.0,68.72
150,100,28,1,10.68,0.0,10.68
151,101,18,2,64.48,0.0,128.96
152,102,12,2,36.02,0.05,72.04
153,103,10,1,378.85,0.0,378.85
154,103,11,1,44.7,0.0,44.7
155,104,6,1,351.76,0.0,351.76
156,104,10,2,378.85,0.0,757.7
157,104,29,1,24.54,0.08,24.54
158,105,54,1,23.42,0.0,23.42
159,106,11,1,44.7,0.0,44.7
