customer_id,signup_date,region,acquisition_channel
1,2023-09-12,Central,Social
2,2024-08-01,North,Referral
3,2023-01-07,North,Referral
4,2024-09-19,Central,Email
5,2024-01-15,East,Referral
6,2023-04-09,South,Organic
7,2023-07-31,Central,Social
8,2024-01-23,North,Paid Search
9,2023-08-09,North,Paid Search
10,2023-03-18,North,Email
11,2024-04-11,South,Social
12,2024-04-15,South,Email
13,2023-03-25,South,Paid Search
14,2023-07-16,East,Social
15,2023-06-20,East,Paid Search
16,2024-04-06,East,Organic
17,2024-05-26,North,Organic
18,2024-05-23,North,Paid Search
19,2024-10-19,North,Organic
20,2024-06-22,Central,Email
21,2023-08-13,North,Organic
22,2023-03-17,South,Organic
23,2024-03-06,Central,Referral
24,2024-10-03,Central,Organic
25,2024-11-13,North,Email
26,2023-06-11,North,Social
27,2023-06-15,North,Organic
28,2023-01-27,South,Social
29,2023-04-09,Central,Social
30,2024-01-24,South,Referral
31,2024-01-18,North,Referral
32,2023-09-17,Central,Social
33,2023-08-05,Central,Social
34,2024-08-03,South,Paid Search
35,2023-11-19,South,Social
36,2024-07-19,North,Email
37,2024-11-05,East,Social
38,2023-08-10,North,Social
39,2023-05-22,South,Paid Search
40,2024-10-29,North,Referral
41,2024-03-20,North,Email
42,2023-07-23,South,Organic
43,2024-03-11,North,Organic
44,2023-12-27,Central,Social
45,2024-09-25,Central,Paid Search
46,2023-06-29,North,Social
47,2024-11-24,South,Organic
48,2024-10-17,South,Paid Search
49,2023-05-07,South,Social
50,2023-04-26,North,Social
51,2024-01-09,Central,Social
52,2023-02-01,North,Social
53,2023-07-29,North,Social
54,2023-11-01,North,Referral
55,2024-11-09,East,Social
56,2024-11-25,South,Social
57,2023-04-17,South,Social
58,2024-09-16,Central,Organic
59,2023-03-05,Central,Organic
60,2024-06-08,Central,Paid Search
61,2024-08-14,Central,Email
62,2024-09-15,Central,Social
63,2023-06-06,North,Organic
64,2024-09-17,North,Social
65,2023-03-23,East,Organic
66,2023-12-30,Central,Social
67,2023-11-25,East,Referral
68,2023-08-10,North,Social
69,2023-01-16,Central,Social
70,2024-06-24,North,Paid Search
71,2023-08-23,North,Paid Search
72,2024-04-08,North,Email
73,2023-10-15,North,Social
74,2023-09-19,South,Paid Search
75,2024-09-12,North,Paid Search
76,2023-03-08,Central,Organic
77,2024-05-30,Central,Organic
78,2024-06-06,Central,Organic
79,2023-09-23,Central,Paid Search
80,2023-07-03,North,Email
81,2023-01-04,East,Paid Search
82,2024-10-17,South,Organic
83,2024-10-25,South,Organic
84,2023-06-18,Central,Paid Search
85,2023-01-23,North,Referral
86,2023-03-27,East,Paid Search
87,2023-02-17,Central,Referral
88,2024-08-04,North,Referral
89,2024-09-16,Central,Organic
90,2023-04-18,South,Social
91,2024-06-06,South,Email
92,2023-05-06,South,Paid Search
93,2023-09-15,South,Organic
94,2024-02-24,North,Email
95,2024-05-18,East,Email
96,2024-09-04,Central,Paid Search
97,2023-02-01,South,Social
98,2023-05-18,North,Organic
99,2023-07-16,East,Referral
100,2023-08-06,North,Paid Search
101,2024-11-29,North,Organic
102,2024-06-28,Central,Social
103,2023-08-13,North,Email
104,2024-11-11,North,Referral
105,2023-12-16,South,Organic
106,2023-12-17,Central,Organic
107,2023-10-31,East,Email
108,2023-04-11,North,Email
109,2024-10-16,South,Social
110,2023-01-10,Central,Social
111,2023-05-02,South,Paid Search
112,2023-06-10,Central,Paid Search
113,2023-07-15,Central,Organic
114,2023-04-03,East,Organic
115,2023-01-13,Central,Organic
116,2024-04-19,North,Referral
117,2024-11-09,South,Organic
118,2023-03-27,South,Organic
119,2023-07-27,North,Social
120,2023-12-21,Central,Organic
121,2024-10-11,South,Organic
122,2024-04-30,South,Social
123,2024-06-20,East,Paid Search
124,2024-02-11,Central,Social
125,2023-10-19,South,Email
126,2023-05-20,North,Organic
127,2024-08-28,East,Email
128,2024-07-16,Central,Email
129,2023-01-18,South,Referral
130,2024-05-15,Central,Social
131,2023-03-01,Central,Social
132,2024-06-01,South,Social
133,2024-08-01,Central,Social
134,2023-04-02,South,Organic
135,2023-10-31,Central,Email
136,2023-03-28,South,Social
137,2024-02-02,Central,Referral
138,2024-10-11,Central,Paid Search
139,2023-02-26,Central,Organic
140,2023-10-06,North,Paid Search
141,2024-11-12,North,Paid Search
142,2023-07-30,South,Paid Search
143,2023-04-03,South,Paid Search
144,2023-12-09,South,Organic
145,2023-12-22,North,Paid Search
146,2024-04-09,North,Paid Search
147,2023-08-08,North,Email
148,2024-10-30,South,Organic
149,2023-12-31,South,Paid Search
150,2023-07-20,North,Paid Search
151,2024-11-03,South,Social
152,2024-10-09,North,Paid Search
153,2023-12-16,North,Social
154,2023-01-18,North,Email
155,2024-02-22,North,Paid Search
156,2024-01-24,South,Social
157,2023-04-14,South,Organic
158,2024-03-19,North,Organic
159,2024-08-11,Central,Paid Search
160,2023-03-16,South,Organic
161,2024-05-21,East,Social
162,2023-04-09,Central,Social
163,2024-06-08,North,Social
164,2023-10-21,South,Paid Search
165,2023-01-05,North,Social
166,2024-11-07,East,Paid Search
167,2023-04-27,Central,Organic
168,2024-02-22,South,Organic
169,2023-05-08,North,Social
170,2024-10-15,Central,Email
171,2024-05-31,South,Organic
172,2024-07-17,Central,Social
173,2023-10-30,Central,Referral
174,2023-11-24,East,Referral
175,2024-03-20,South,Social
176,2024-07-03,North,Social
177,2024-08-15,Central,Social
178,2023-01-13,Central,Email
179,2024-04-09,South,Organic
180,2023-03-18,North,Email
181,2023-07-21,North,Organic
182,2024-08-03,South,Referral
183,2023-06-25,East,Organic
184,2024-07-11,South,Organic
185,2023-11-21,East,Organic
186,2023-06-12,South,Paid Search
187,2023-08-22,South,Paid Search
188,2024-01-07,South,Organic
189,2024-06-19,Central,Paid Search
190,2024-02-29,Central,Paid Search
191,2024-10-15,North,Referral
192,2024-08-30,South,Email
193,2024-06-11,North,Social
194,2024-02-27,North,Organic
195,2023-07-22,Central,Paid Search
196,2023-10-16,Central,Email
197,2023-03-25,North,Organic
198,2023-09-19,South,Paid Search
199,2024-10-10,South,Email
200,2023-10-26,North,Email
201,2023-03-21,North,Paid Search
202,2024-04-01,North,Social
203,2024-11-04,South,Paid Search
204,2024-08-30,South,Referral
205,2023-07-11,North,Organic
206,2023-11-14,South,Organic
207,2024-01-07,North,Social
208,2023-06-23,Central,Organic
209,2023-07-08,East,Social
210,2023-06-15,North,Paid Search
211,2024-11-27,North,Email
212,2024-06-06,Central,Referral
213,2024-08-11,Central,Paid Search
214,2024-07-25,East,Referral
215,2024-11-02,East,Organic
216,2023-03-15,North,Paid Search
217,2024-09-09,North,Organic
218,2023-02-16,South,Email
219,2023-11-29,North,Referral
220,2024-02-21,South,Email
221,2023-09-08,South,Email
222,2023-04-13,North,Email
223,2023-05-15,South,Organic
224,2024-07-31,North,Email
225,2023-08-12,Central,Social
226,2023-08-06,Central,Paid Search
227,2024-10-08,Central,Social
228,2023-04-11,South,Paid Search
229,2024-10-02,South,Paid Search
230,2024-10-06,East,Organic
231,2024-02-23,East,Organic
232,2023-04-26,Central,Paid Search
233,2023-04-20,North,Email
234,2023-07-19,South,Social
235,2024-02-09,East,Paid Search
236,2023-04-18,North,Paid Search
237,2023-11-15,Central,Paid Search
238,2023-03-22,Central,Organic
239,2024-01-14,North,Referral
240,2023-01-15,South,Organic
